uid,id,source,rank,game
490,25,"10. Wingspan Asia","10","Wingspan Asia"
491,25,"11. Viticulture Essential Edition","11","Viticulture Essential Edition"
492,25,"12. Wingspan","12","Wingspan"
493,25,"13. Walking in Burano","13","Walking in Burano"
494,25,"14. Morels","14","Morels"
495,25,"15. Jaipur","15","Jaipur"
496,25,"16. Carcassonne: Hunters and Gatherers","16","Carcassonne: Hunters and Gatherers"
497,25,"17. Scrabble","17","Scrabble"
498,25,"18. Azul","18","Azul"
499,25,"19. Ticket to Ride: Märklin","19","Ticket to Ride: Märklin"
500,25,"20. Century: Golem Edition","20","Century: Golem Edition"
501,26,"1. Splendor Duel","1","Splendor Duel"
502,26,"2. Masters of Renaissance","2","Masters of Renaissance"
503,26,"3. Noch Mal!","3","Noch Mal!"
504,26,"4. Space Base","4","Space Base"
505,26,"5. Shifting Stones","5","Shifting Stones"
506,26,"6. 7 Wonders Duel","6","7 Wonders Duel"
507,26,"7. Taverns of Tiefenthal","7","Taverns of Tiefenthal"
508,26,"8. Cascadia","8","Cascadia"
509,26,"9. Caldera Park","9","Caldera Park"
510,26,"10. Trails of Tucana","10","Trails of Tucana"
511,26,"11. Project L","11","Project L"
512,26,"12. My Farm Shop","12","My Farm Shop"
513,26,"13. Mandala","13","Mandala"
514,26,"14. Guild of Merchant Explorers","14","Guild of Merchant Explorers"
515,26,"15. Above and Below","15","Above and Below"
516,26,"16. Villagers","16","Villagers"
517,26,"17. Mystic Vale","17","Mystic Vale"
518,26,"18. Castles of Burgundy","18","Castles of Burgundy"
519,26,"19. Meadow","19","Meadow"
520,26,"20. TEN","20","TEN"
521,27,"1. Scrabble","1","Scrabble"
522,27,"2. Ticket to Ride: Nordic Countries","2","Ticket to Ride: Nordic Countries"
523,27,"3. Arboretum","3","Arboretum"
524,27,"4. Codenames: Duet","4","Codenames: Duet"
525,27,"5. Viticulture Essential Edition","5","Viticulture Essential Edition"
526,27,"6. Wingspan","6","Wingspan"
527,27,"7. Hanamikoji","7","Hanamikoji"
528,27,"8. Yokohama","8","Yokohama"
529,27,"9. Bananagrams","9","Bananagrams"
530,27,"10. Alubari: A Nice Cup of Tea","10","Alubari: A Nice Cup of Tea"
531,27,"11. Ticket to Ride: Rails & Sails","11","Ticket to Ride: Rails & Sails"
532,27,"12. Concordia Venus","12","Concordia Venus"
533,27,"13. Ticket to Ride: Europe","13","Ticket to Ride: Europe"
534,27,"14. IKI","14","IKI"
535,27,"15. Azul","15","Azul"
536,27,"16. Covert","16","Covert"
537,27,"17. Hive Carbon","17","Hive Carbon"
538,27,"18. Scythe","18","Scythe"
539,27,"19. Istanbul: Big Box","19","Istanbul: Big Box"
540,27,"20. Walking in Burano","20","Walking in Burano"
541,28,"1. Carcassonne","1","Carcassonne"
542,28,"2. Codenames: Duet","2","Codenames: Duet"
543,28,"3. Dominion (Second Edition)","3","Dominion (Second Edition)"
544,28,"4. Dutch Blitz","4","Dutch Blitz"
545,28,"5. Tiny Towns","5","Tiny Towns"
546,28,"6. Agricola: All Creatures Big and Small","6","Agricola: All Creatures Big and Small"
547,28,"7. Star Realms","7","Star Realms"
548,28,"8. 7 Wonders Duel","8","7 Wonders Duel"
549,28,"9. Jaipur","9","Jaipur"
550,28,"10. Imhotep","10","Imhotep"
551,28,"11. Lost Cities","11","Lost Cities"
552,28,"12. Stratego","12","Stratego"
553,28,"13. Kingdomino","13","Kingdomino"
554,28,"14. Star Wars: X-Wing (Second Edition)","14","Star Wars: X-Wing (Second Edition)"
555,28,"15. Tsuro","15","Tsuro"
